date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:38	14952/14952	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202019%2015:00:39%20GMT	http://mtown88.com/assets/games/newtowncasino.png	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/games/newtowncasino.png	(from http://mtown88.com/)
12:37:38	3801/3801	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202019%2015:01:26%20GMT	http://mtown88.com/assets/mt2/images/triangle.png	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/images/triangle.png	(from http://mtown88.com/)
12:37:39	36001/36001	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202019%2015:00:40%20GMT	http://mtown88.com/assets/games/sky777.png	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/games/sky777.png	(from http://mtown88.com/)
12:37:41	8101/8101	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2015:01:27%20GMT	http://mtown88.com/assets/mt2/js/jquery.easing.js	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/js/jquery.easing.js	(from http://mtown88.com/)
12:37:42	2400/2400	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2015:01:27%20GMT	http://mtown88.com/assets/mt2/js/jquery.mousewheel.js	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/js/jquery.mousewheel.js	(from http://mtown88.com/)
12:37:43	2002/2002	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2015:01:27%20GMT	http://mtown88.com/assets/mt2/js/pushy.min.js	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/js/pushy.min.js	(from http://mtown88.com/)
12:37:43	37045/37045	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2015:01:27%20GMT	http://mtown88.com/assets/mt2/js/bootstrap.min.js	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/js/bootstrap.min.js	(from http://mtown88.com/)
12:37:44	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2004:37:43%20GMT	http://mtown88.com/assets/mt2/fonts/glyphicons-halflings-regular.eot	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/fonts/glyphicons-halflings-regular.38.delayed	(from http://mtown88.com/assets/mt2/css/bootstrap.min.css)
12:37:44	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2004:37:43%20GMT	http://mtown88.com/assets/mt2/fonts/glyphicons-halflings-regular.eot?	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/fonts/glyphicons-halflings-regulard41d.eot	(from http://mtown88.com/assets/mt2/css/bootstrap.min.css)
12:37:44	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Mar%202020%2004:37:43%20GMT	http://mtown88.com/assets/mt2/fonts/glyphicons-halflings-regular.woff2	C:/Users/ACER%20-%20PC/Desktop/a/a/mtown88.com/assets/mt2/fonts/glyphicons-halflings-regular.woff2	(from http://mtown88.com/assets/mt2/css/bootstrap.min.css)
